item_id,title,creator,date,collection,material,technique,worktype,description,location,detail_url,image_url,local_image_path,raw_metadata
1,Street in London,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"The clean uniformity of the background seems to root the scene. But the pirouetting leaves, the wind in the hair and the clothes, as well as the positions of the feet turn this picture into a dance of everyday life.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/1/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:1/full/730,/0/default.jpg",margo_data/images/0001.jpg,"{""title"": ""Street in London"", ""titlea"": ""شارع في لندن"", ""titleb"": ""Une rue de Londres"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""The clean uniformity of the background seems to root the scene. But the pirouetting leaves, the wind in the hair and the clothes, as well as the positions of the feet turn this picture into a dance of everyday life."", ""descra"": ""Margo Veillon, 1988"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""79 cm x 68 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Street in London"", ""og:description"": ""The clean uniformity of the background seems to root the scene. But the pirouetting leaves, the wind in the hair and the clothes, as well as the positions of the feet turn this picture into a dance of everyday life."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:1/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/1/"", ""og:type"": ""website""}"
2,Self-portrait of Margo Veillon,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"In this self-portrait the artist seems to come out of the frame, an impression reinforced by the intensity of the look and by the two imaginary lines created by the two brushes that intersect at the center of the canvas.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/2/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:2/full/730,/0/default.jpg",margo_data/images/0002.jpg,"{""title"": ""Self-portrait of Margo Veillon"", ""titlea"": ""الصورة الذاتية لمارجو فيلون"", ""titleb"": ""Autoportrait de Margo Veillon"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""In this self-portrait the artist seems to come out of the frame, an impression reinforced by the intensity of the look and by the two imaginary lines created by the two brushes that intersect at the center of the canvas."", ""descra"": ""1987, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""87 cm x 120 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Expressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Self-portrait of Margo Veillon"", ""og:description"": ""In this self-portrait the artist seems to come out of the frame, an impression reinforced by the intensity of the look and by the two imaginary lines created by the two brushes that intersect at the center of the canvas."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:2/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/2/"", ""og:type"": ""website""}"
3,Still-life with lantern,Margo Veillon,,Margo Veillon Art Collection,mixed media,pastels (visual works),mixed media works,"There is great freedom in this beautiful and austere still life. In contrast, the white wall constantly sends the eye back to the objects arranged in a triangle and the colored ground that seems to leave the painting.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/3/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:3/full/730,/0/default.jpg",margo_data/images/0003.jpg,"{""title"": ""Still-life with lantern"", ""titlea"": ""تزال الحياة مع الفانوس"", ""titleb"": ""Nature morte à la lanterne"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""There is great freedom in this beautiful and austere still life. In contrast, the white wall constantly sends the eye back to the objects arranged in a triangle and the colored ground that seems to leave the painting."", ""descra"": ""Margo Veillon, 1989"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""mixed media"", ""artwor"": ""100 cm x 70 cm"", ""medium"": ""mixed media works"", ""type"": ""pastels (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Still-life with lantern"", ""og:description"": ""There is great freedom in this beautiful and austere still life. In contrast, the white wall constantly sends the eye back to the objects arranged in a triangle and the colored ground that seems to leave the painting."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:3/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/3/"", ""og:type"": ""website""}"
4,Still-life with eggplant,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"Should we see here a representation of the myth of Plato’s cave? Anyway, these simple, everyday objects acquire another, strange face, thanks to their shadows.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/4/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:4/full/730,/0/default.jpg",margo_data/images/0004.jpg,"{""title"": ""Still-life with eggplant"", ""titlea"": ""لا تزال الحياة مع الباذنجان"", ""titleb"": ""Nature morte aux aubergines"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Should we see here a representation of the myth of Plato’s cave? Anyway, these simple, everyday objects acquire another, strange face, thanks to their shadows."", ""descra"": ""Margo Veillon, 1985"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""115 cm x 82 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Still-life with eggplant"", ""og:description"": ""Should we see here a representation of the myth of Plato’s cave? Anyway, these simple, everyday objects acquire another, strange face, thanks to their shadows."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:4/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/4/"", ""og:type"": ""website""}"
5,Water hyacinths,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),A view of a patch of Nile rose decorated with beautiful purple flowers and large green leaves,"American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/5/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:5/full/730,/0/default.jpg",margo_data/images/0005.jpg,"{""title"": ""Water hyacinths"", ""titlea"": ""زنابق الماء"", ""titleb"": ""Jacinthes d'eau"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""A view of a patch of Nile rose decorated with beautiful purple flowers and large green leaves"", ""descra"": ""Margo Veillon, 1942"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""67 cm x 56 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Water hyacinths"", ""og:description"": ""A view of a patch of Nile rose decorated with beautiful purple flowers and large green leaves"", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:5/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/5/"", ""og:type"": ""website""}"
6,Moving stones,Margo Veillon,,Margo Veillon Art Collection,acrylic and sand,acrylic paintings (visual works),mixed media works,Margo Veillon is not content with just collecting the stones of the desert. She has copied their shapes and polished some of them. Her fascination for their shapes has found particularly fertile ground.,"American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/6/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:6/full/730,/0/default.jpg",margo_data/images/0006.jpg,"{""title"": ""Moving stones"", ""titlea"": ""الصخور المتحركه"", ""titleb"": ""Déplacer des pierres"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Margo Veillon is not content with just collecting the stones of the desert. She has copied their shapes and polished some of them. Her fascination for their shapes has found particularly fertile ground."", ""descra"": ""Margo Veillon, 1964"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""acrylic and sand"", ""artwor"": ""77 cm x 67 cm"", ""medium"": ""mixed media works"", ""type"": ""acrylic paintings (visual works)"", ""format"": ""Abstract (modern European style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Moving stones"", ""og:description"": ""Margo Veillon is not content with just collecting the stones of the desert. She has copied their shapes and polished some of them. Her fascination for their shapes has found particularly fertile ground."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:6/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/6/"", ""og:type"": ""website""}"
7,Tangled palm trees,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"A landscape that contains many overlapping trees, grass, and some palm trees with large leaves","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/7/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:7/full/730,/0/default.jpg",margo_data/images/0007.jpg,"{""title"": ""Tangled palm trees"", ""titlea"": ""أشجار النخيل المتشابكة"", ""titleb"": ""Palmiers emmêlés"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""A landscape that contains many overlapping trees, grass, and some palm trees with large leaves"", ""descra"": ""1983, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""90 cm x 69.5"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Tangled palm trees"", ""og:description"": ""A landscape that contains many overlapping trees, grass, and some palm trees with large leaves"", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:7/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/7/"", ""og:type"": ""website""}"
8,Blue sky and orange mountains,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"A clear blue sky above a series of mountains colored in orange and brown colors, and the ground contains some green grass spread along the valley","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/8/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:8/full/730,/0/default.jpg",margo_data/images/0008.jpg,"{""title"": ""Blue sky and orange mountains"", ""titlea"": ""السماء الزرقاء والجبال البرتقالية"", ""titleb"": ""Ciel bleu et montagnes oranges"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""A clear blue sky above a series of mountains colored in orange and brown colors, and the ground contains some green grass spread along the valley"", ""descra"": ""1950, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""56 cm x 80 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Blue sky and orange mountains"", ""og:description"": ""A clear blue sky above a series of mountains colored in orange and brown colors, and the ground contains some green grass spread along the valley"", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:8/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/8/"", ""og:type"": ""website""}"
9,Women dancing,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"The interlacing of the bodies and the clothes, differentiated only by color, is remarkable. Everything is centered on the raised hands in the middle. The smallest figure on the right provides a perfect counterpoint.","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/9/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:9/full/730,/0/default.jpg",margo_data/images/0009.jpg,"{""title"": ""Women dancing"", ""titlea"": ""رقص النساء"", ""titleb"": ""Femmes qui dansent"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""The interlacing of the bodies and the clothes, differentiated only by color, is remarkable. Everything is centered on the raised hands in the middle. The smallest figure on the right provides a perfect counterpoint."", ""descra"": ""Margo Veillon, 1959-90"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""116 cm x 73 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Women dancing"", ""og:description"": ""The interlacing of the bodies and the clothes, differentiated only by color, is remarkable. Everything is centered on the raised hands in the middle. The smallest figure on the right provides a perfect counterpoint."", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:9/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/9/"", ""og:type"": ""website""}"
10,Big green leaves,Margo Veillon,,Margo Veillon Art Collection,oil on canvas,oil paintings (visual works),paintings (visual works),"Many tree stems with grass and some types of palm trees, all intertwined with each other","American University in Cairo, Egypt",https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/10/,"http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:10/full/730,/0/default.jpg",margo_data/images/0010.jpg,"{""title"": ""Big green leaves"", ""titlea"": ""أوراق خضراء كبيرة"", ""titleb"": ""Grandes feuilles vertes"", ""creata"": ""Margo Veillon"", ""creato"": ""Egyptian-Swiss"", ""descri"": ""Many tree stems with grass and some types of palm trees, all intertwined with each other"", ""descra"": ""1985, Margo Veillon"", ""locati"": ""American University in Cairo, Egypt"", ""covera"": ""oil on canvas"", ""artwor"": ""83.5 cm x 83.5 cm"", ""medium"": ""paintings (visual works)"", ""type"": ""oil paintings (visual works)"", ""format"": ""Impressionist (style)"", ""collec"": ""Margo Veillon Art Collection"", ""source"": ""American University in Cairo"", ""licens"": ""Copyright the American University in Cairo"", ""rights"": ""To inquire about rights and permissions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu."", ""google-site-verification"": ""UA-49762962-1"", ""viewport"": ""width=device-width, initial-scale=1.0"", ""og:title"": ""Big green leaves"", ""og:description"": ""Many tree stems with grass and some types of palm trees, all intertwined with each other"", ""og:image"": ""http://digitalcollections.aucegypt.edu/iiif/2/p15795coll40:10/full/730,/0/default.jpg"", ""og:url"": ""https://digitalcollections.aucegypt.edu/digital/collection/p15795coll40/id/10/"", ""og:type"": ""website""}"
