epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.892,0.53237,1.89797,1.19231,0.00328,0.98324,0.74546,0.68217,0.50689,2.74555,1.17517,0.00044,0.00044,0.00044
2,242.034,0.39383,0.94237,1.06832,0.68336,0.89385,0.71371,0.37202,0.94686,3.77859,1.54791,0.00088218,0.00088218,0.00088218
3,363.802,0.3802,0.87816,1.04632,0.23345,0.56425,0.20707,0.09206,1.50394,4.79205,1.91306,0.00130614,0.00130614,0.00130614
4,483.027,0.37868,0.8077,1.03675,0.72731,0.90892,0.78909,0.51536,0.85534,2.65878,1.8397,0.00171189,0.00171189,0.00171189
5,605.562,0.40826,0.81083,1.03838,0.61703,0.8641,0.59202,0.42726,0.73818,2.47249,1.568,0.0018416,0.0018416,0.0018416
6,724.693,0.3407,0.69962,1.01353,0.6623,0.81077,0.66635,0.4438,0.69514,2.23018,1.4486,0.001802,0.001802,0.001802
7,844.539,0.36392,0.68383,1.01363,0.62199,0.81812,0.65368,0.42361,0.68879,2.28916,1.33706,0.0017624,0.0017624,0.0017624
8,970.734,0.34113,0.62918,1.00935,0.72755,0.8324,0.83426,0.6065,0.76912,1.88735,1.40424,0.0017228,0.0017228,0.0017228
9,1090.47,0.37413,0.6492,1.02994,0.82974,0.95531,0.8845,0.77905,0.37359,1.11708,1.01632,0.0016832,0.0016832,0.0016832
10,1211.68,0.31549,0.63005,0.98956,0.63563,0.73743,0.66356,0.36323,1.11115,1.80609,1.65156,0.0016436,0.0016436,0.0016436
11,1341.22,0.31748,0.6511,0.99336,0.67284,0.9162,0.73592,0.50763,0.82868,1.47394,1.37143,0.001604,0.001604,0.001604
12,1463.36,0.30633,0.60688,0.97787,0.83591,0.9162,0.87851,0.66227,0.68349,1.34586,1.35211,0.0015644,0.0015644,0.0015644
